type,capacity,n,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,                      1000,      500,1001,        1001,     995,        1001,     0.482884,0.371615
almost,                      1000,      500,1001,        1001,     995,        1001,     0.532764,0.290535
inv,                      1000,      500,1001,        1001,     836,        839,     0.544384,0.348046
str,                      1000,      500,1001,        1001,     996,        999,     0.451008,0.268021
weak,                      1000,      500,1001,        1001,     995,        1001,     0.429685,0.271461
