type,capacity,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1000,1001,1001,988,992,0.384639,0.250302
almost,1000,1001,1001,988,992,0.382409,0.228347
inv,1000,1001,1001,837,839,0.450858,0.289513
str,1000,1001,1001,990,995,0.375278,0.236377
weak,1000,1001,1001,988,992,0.375217,0.243112
