type,capacity,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1000,1001,1001,997,997,1.065270,0.640358
almost,1000,1001,1001,997,997,0.969807,0.608809
inv,1000,1001,1001,863,864,1.176687,0.740390
str,1000,1001,1001,996,996,0.958882,0.804735
weak,1000,1001,1001,997,997,1.015379,0.606638
