type,capacity,n,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,                      1000,      500,1001,        1001,     989,        990,     0.475501,0.301595
almost,                      1000,      500,1001,        1001,     989,        990,     0.491401,0.347148
inv,                      1000,      500,1001,        1001,     857,        858,     0.647493,0.378009
str,                      1000,      500,1001,        1001,     997,        998,     0.498952,0.288331
weak,                      1000,      500,1001,        1001,     989,        990,     0.550811,0.288147
