type,capacity,n,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,                      1000,      500,1001,        1001,     1001,        1001,     0.093064,0.055825
almost,                      1000,      500,1001,        1001,     1001,        1001,     0.103658,0.042298
inv,                      1000,      500,1001,        1001,     987,        987,     0.082720,0.057488
str,                      1000,      500,1001,        1001,     1001,        1001,     0.086773,0.039940
weak,                      1000,      500,1001,        1001,     1001,        1001,     0.063981,0.040215
