type,capacity,n,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,                      1000,      500,1001,        1001,     990,        996,     0.363602,0.222313
almost,                      1000,      500,1001,        1001,     990,        996,     0.373127,0.224645
inv,                      1000,      500,1001,        1001,     879,        880,     0.462335,0.278434
str,                      1000,      500,1001,        1001,     996,        999,     0.395705,0.225820
weak,                      1000,      500,1001,        1001,     990,        996,     0.345901,0.207671
