type,capacity,n,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,                      1000,      500,1001,        1001,     999,        1000,     0.357688,0.227514
almost,                      1000,      500,1001,        1001,     999,        1000,     0.381074,0.214003
inv,                      1000,      500,1001,        1001,     878,        882,     0.436655,0.268155
str,                      1000,      500,1001,        1001,     1001,        1001,     0.342873,0.220842
weak,                      1000,      500,1001,        1001,     999,        1000,     0.334345,0.208580
