type,capacity,n,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,                      1000,      500,1001,        1001,     996,        999,     0.246249,0.137833
almost,                      1000,      500,1001,        1001,     996,        999,     0.229973,0.174520
inv,                      1000,      500,1001,        1001,     931,        932,     0.312040,0.162047
str,                      1000,      500,1001,        1001,     994,        997,     0.239008,0.136151
weak,                      1000,      500,1001,        1001,     996,        999,     0.230943,0.139341
