typename,s_size_v1,s_size_v2,s_size_v1_1,s_size_v2_1,time_ks2_allocation,time_ks2_v2,time_ks2_v2_allocation_1,time_ks2_v2_1,time_ks2_v1_allocation,time_ks2_v1,time_ks2_v1_allocation_1,time_ks2_v1_1,time_originaluncorr,48543,48620,48543,48620,0.090537,0.108214,0.035279,0.041394,0.021509,0.125406,0.020139,0.117628,0.083998
uncorr,48543,48620,48543,48620,0.017575,0.152381,0.034994,0.078959,0.021056,0.118456,0.021154,0.107232,0.056428
uncorr,48543,48620,48543,48620,0.026892,0.154590,0.031975,0.074937,0.030099,0.156119,0.018329,0.098416,0.052520
uncorr,48543,48620,48543,48620,0.018468,0.121088,0.017504,0.042560,0.027974,0.116039,0.018552,0.100099,0.065526
uncorr,48543,48620,48543,48620,0.035600,0.126345,0.020877,0.066213,0.021809,0.208914,0.036239,0.133193,0.053227
uncorr,48543,48620,48543,48620,0.020213,0.125867,0.032120,0.052079,0.017398,0.120319,0.018643,0.149143,0.092967
uncorr,48543,48620,48543,48620,0.035915,0.132021,0.025577,0.057694,0.022358,0.115699,0.023526,0.125519,0.103162
uncorr,48543,48620,48543,48620,0.021427,0.121793,0.035418,0.058962,0.028140,0.116961,0.022665,0.119866,0.055145
uncorr,48543,48620,48543,48620,0.024163,0.128352,0.021029,0.038118,0.018684,0.108770,0.028858,0.127770,0.117125
uncorr,48543,48620,48543,48620,0.041805,0.150943,0.018253,0.039969,0.020994,0.132474,0.025640,0.162966,0.065035
uncorr,48543,48620,48543,48620,0.019206,0.134136,0.017913,0.043017,0.018489,0.104314,0.017808,0.098816,0.068019
uncorr,48543,48620,48543,48620,0.033394,0.141715,0.020334,0.058705,0.017690,0.129264,0.037147,0.148763,0.061746
uncorr,48543,48620,48543,48620,0.018288,0.137589,0.023502,0.059993,0.027934,0.138843,0.019473,0.140714,0.064727
uncorr,48543,48620,48543,48620,0.026760,0.168942,0.029543,0.067162,0.018434,0.141677,0.019565,0.106654,0.075834
