type,capacity,n,t_v1,t_v2,s_v1,s_v2,t_size_v1_div,t_size_v2_cut,s_sizev1_div,s_size_v2_cut,time_v1,time_v2,time_v1_div,time_v2_cut,time_original_prealloc,time_ks2_v1_1,time_ks2_v2_1,time_ks2_v1_1_div,time_ks2_v2_1_cut,res_original_alloc,resOpt_v1_1,resOpt_v2_1,resOpt_v1_1_div,resOpt_v2_1_cut
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.030746,0.076451,0.029991,0.000330,0.032518,249050.624949,249050.624949,249050.624949,244448.771052,249050.624949
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.030795,0.075903,0.030125,0.000346,0.030924,234270.642169,234270.642169,234270.642169,230579.724875,234270.642169
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.031065,0.073941,0.029249,0.000345,0.030051,254380.779741,254380.779741,254380.779741,251264.290506,254380.779741
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.030225,0.073463,0.029078,0.000371,0.029822,264729.538867,264729.538867,264729.538867,259594.132355,264729.538867
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.032343,0.073405,0.030201,0.000389,0.030478,238269.630488,238269.630488,238269.630488,235265.457659,238269.630488
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.033100,0.076361,0.029158,0.000322,0.031817,224458.894715,224458.894715,224458.894715,220660.646655,224458.894715
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.030786,0.074187,0.029180,0.000425,0.029655,239393.713264,239393.713264,239393.713264,234556.832071,239393.713264
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.030465,0.074696,0.028801,0.000379,0.029604,185686.967848,185686.967848,185686.967848,181817.944742,185686.967848
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.032502,0.073597,0.030820,0.000326,0.029687,287202.295870,287202.295870,287202.295870,283361.930602,287202.295870
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.033071,0.073520,0.031418,0.000325,0.029266,275526.419492,275526.419492,275526.419492,270009.897520,275526.419492
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.031107,0.073557,0.028941,0.000357,0.029769,215228.316780,215228.316780,215228.316780,213008.258603,215228.316780
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.031011,0.075886,0.030484,0.000338,0.029850,221575.638732,221575.638732,221575.638732,218259.547903,221575.638732
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.030447,0.074898,0.030319,0.000339,0.030100,220579.393358,220579.393358,220579.393358,215919.341175,220579.393358
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.031225,0.074544,0.031450,0.000359,0.036420,270112.978666,270112.978666,270112.978666,267950.700330,270112.978666
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.031570,0.076601,0.029058,0.000413,0.029570,252125.494839,252125.494839,252125.494839,248081.996707,252125.494839
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.030609,0.073935,0.029471,0.000337,0.032825,224701.503996,224701.503996,224701.503996,220943.952701,224701.503996
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.030506,0.075533,0.030494,0.000385,0.033382,271085.625359,271085.625359,271085.625359,267476.175817,271085.625359
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.030284,0.073478,0.029673,0.000336,0.029503,213845.067606,213845.067606,213845.067606,211286.615406,213845.067606
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.034804,0.076006,0.030695,0.000339,0.029944,263613.963881,263613.963881,263613.963881,259244.116558,263613.963881
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.030860,0.074575,0.029498,0.000332,0.030189,210072.774076,210072.774076,210072.774076,206536.851804,210072.774076
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.032632,0.073961,0.030570,0.000340,0.030788,273951.143823,273951.143823,273951.143823,270557.437028,273951.143823
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.030878,0.075007,0.031632,0.000324,0.030448,253475.365990,253475.365990,253475.365990,248197.429143,253475.365990
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.031574,0.079207,0.030585,0.000335,0.033103,252924.109657,252924.109657,252924.109657,248705.158584,252924.109657
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.032569,0.075426,0.029722,0.000323,0.029213,260493.133821,260493.133821,260493.133821,256437.157507,260493.133821
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.032450,0.073254,0.030617,0.000337,0.030886,262409.349323,262409.349323,262409.349323,256591.122800,262409.349323
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.031482,0.074576,0.030731,0.000344,0.031592,310374.582373,310374.582373,310374.582373,304454.189511,310374.582373
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.030404,0.073898,0.029588,0.000387,0.029684,213477.731762,213477.731762,213477.731762,210701.158996,213477.731762
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.031040,0.074526,0.029426,0.000372,0.030294,243855.571731,243855.571731,243855.571731,238559.739027,243855.571731
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.030709,0.073259,0.029969,0.000329,0.031782,203834.710132,203834.710132,203834.710132,199073.066873,203834.710132
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.030581,0.075934,0.030076,0.000514,0.029741,314903.577680,314903.577680,314903.577680,310874.260896,314903.577680
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.031221,0.072614,0.029410,0.000335,0.029362,253288.211433,253288.211433,253288.211433,249243.991429,253288.211433
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.033924,0.077422,0.030033,0.000326,0.029109,245738.159814,245738.159814,245738.159814,241403.073876,245738.159814
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.032492,0.073726,0.030364,0.000339,0.032553,251811.029870,251811.029870,251811.029870,247005.031697,251811.029870
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.031000,0.078327,0.029742,0.000328,0.029594,257974.997552,257974.997552,257974.997552,253455.889219,257974.997552
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.032566,0.073757,0.030601,0.000337,0.030556,216053.842506,216053.842506,216053.842506,213027.767409,216053.842506
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.030392,0.074097,0.030089,0.000329,0.029718,214096.994023,214096.994023,214096.994023,207797.271609,214096.994023
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.030547,0.073504,0.029886,0.000330,0.029926,265830.355060,265830.355060,265830.355060,260283.614808,265830.355060
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.030795,0.073606,0.031925,0.000514,0.030189,247214.548369,247214.548369,247214.548369,244471.870761,247214.548369
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.031079,0.076496,0.029148,0.000345,0.029607,280117.051662,280117.051662,280117.051662,272794.905208,280117.051662
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.031093,0.074112,0.030481,0.000341,0.037103,290979.416284,290979.416284,290979.416284,285890.392114,290979.416284
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.031809,0.075024,0.031022,0.000346,0.030905,235513.738317,235513.738317,235513.738317,229042.747174,235463.987724
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.032699,0.074836,0.030290,0.000360,0.030344,264297.048650,264297.048650,264297.048650,258876.503541,264297.048650
