typename,time_original,time_original_prealloc
inv,0.430321,0.309489
inv,0.389517,0.324558
inv,0.428066,0.305036
inv,0.383074,0.333463
inv,0.411498,0.313756
inv,0.386557,0.308299
inv,0.392404,0.307810
inv,0.405148,0.297754
inv,0.374608,0.289091
inv,0.438741,0.301297
inv,0.384029,0.308562
inv,0.388841,0.328082
inv,0.404636,0.322313
inv,0.425628,0.326119
inv,0.430465,0.310047
inv,0.387138,0.318349
inv,0.408978,0.288372
inv,0.408247,0.289899
inv,0.372438,0.306588
inv,0.391469,0.287044
inv,0.374493,0.334989
inv,0.383822,0.300134
inv,0.379323,0.294051
inv,0.395314,0.289446
inv,0.372308,0.321635
inv,0.379891,0.314475
inv,0.392834,0.295205
inv,0.384317,0.287701
inv,0.401309,0.293641
inv,0.378949,0.291147
inv,0.376202,0.300986
inv,0.391395,0.291728
inv,0.372791,0.308509
inv,0.378765,0.286842
inv,0.374367,0.291674
inv,0.384736,0.292476
inv,0.384274,0.294141
inv,0.372687,0.313263
inv,0.404884,0.316672
inv,0.380351,0.288136
inv,0.412682,0.312704
inv,0.379784,0.329982
inv,0.385214,0.293833
inv,0.392486,0.310158
inv,0.395000,0.296852
inv,0.381312,0.286558
inv,0.372440,0.300532
inv,0.386471,0.293317
inv,0.383269,0.293870
inv,0.385333,0.298606
inv,0.387413,0.289156
inv,0.379008,0.287133
inv,0.385729,0.291746
inv,0.392719,0.287716
inv,0.400006,0.310948
inv,0.383766,0.294838
inv,0.388727,0.309132
inv,0.412918,0.313720
inv,0.391410,0.298184
inv,0.378640,0.293892
inv,0.390250,0.292101
inv,0.390858,0.292314
inv,0.380995,0.298533
inv,0.380419,0.293632
inv,0.384437,0.286841
inv,0.374631,0.291792
inv,0.386078,0.288107
inv,0.376190,0.287471
inv,0.371668,0.293304
inv,0.381329,0.289564
inv,0.377116,0.287326
str,0.413492,0.331701
str,0.394790,0.292454
str,0.400760,0.319938
str,0.404398,0.303682
str,0.405545,0.311622
str,0.393364,0.334079
str,0.405755,0.336385
str,0.394322,0.333086
str,0.404175,0.311968
str,0.429617,0.315296
str,0.474916,0.311553
str,0.415290,0.317794
str,0.434513,0.316935
str,0.436884,0.309249
str,0.384487,0.305684
str,0.426296,0.307703
str,0.389416,0.311386
str,0.393196,0.310474
str,0.384448,0.303482
str,0.384814,0.301484
str,0.398743,0.310372
str,0.385666,0.300680
str,0.414683,0.318734
str,0.388007,0.306036
str,0.388089,0.309762
str,0.389681,0.308895
str,0.397603,0.304802
str,0.390658,0.299188
str,0.387654,0.310686
str,0.390116,0.311618
str,0.386338,0.300046
str,0.391398,0.314615
str,0.401750,0.309310
str,0.390955,0.317188
str,0.437281,0.317177
str,0.401463,0.316275
str,0.403085,0.307603
str,0.395751,0.315566
str,0.465288,0.323482
str,0.396425,0.315065
str,0.385478,0.302834
str,0.397706,0.300884
str,0.397044,0.317764
str,0.414989,0.303342
str,0.386215,0.354692
str,0.413717,0.310551
str,0.406647,0.351171
str,0.421488,0.420937
str,0.407813,0.317022
str,0.402479,0.306666
str,0.420197,0.314610
str,0.401890,0.315063
str,0.396303,0.301587
str,0.391246,0.308621
str,0.425464,0.302637
str,0.402823,0.306933
str,0.414337,0.321788
str,0.400544,0.312785
str,0.399815,0.335228
str,0.386162,0.300230
str,0.386219,0.304492
str,0.396295,0.298142
str,0.380981,0.311089
str,0.401097,0.314830
str,0.379056,0.298914
str,0.377679,0.322904
str,0.459195,0.328696
str,0.413480,0.310521
str,0.399259,0.333066
str,0.405915,0.297141
str,0.380774,0.295749
str,0.409832,0.319332
str,0.392097,0.319315
str,0.394157,0.327627
str,0.408167,0.329459
str,0.450711,0.362476
str,0.424433,0.368449
str,0.424791,0.355694
str,0.390418,0.320755
str,0.487608,0.393915
str,0.438117,0.343030
str,0.441401,0.315556
str,0.401215,0.370580
str,0.418390,0.307322
str,0.379359,0.295189
str,0.408065,0.319207
str,0.492853,0.304157
str,0.384227,0.311328
str,0.378370,0.303497
str,0.388787,0.298835
str,0.394118,0.295357
str,0.386668,0.307525
str,0.387358,0.306937
str,0.401601,0.324670
str,0.392567,0.329365
str,0.411038,0.324216
str,0.414978,0.309010
str,0.415450,0.323221
str,0.413976,0.300744
str,0.390733,0.296073
weak,0.474516,0.307335
weak,0.475474,0.299267
weak,0.421219,0.308017
weak,0.389973,0.322123
weak,0.391920,0.299468
weak,0.385057,0.288797
weak,0.387553,0.290439
weak,0.381982,0.284187
weak,0.373163,0.296271
weak,0.374378,0.281836
weak,0.377732,0.291610
weak,0.381593,0.292759
weak,0.382006,0.296620
weak,0.373077,0.292235
weak,0.378100,0.283773
weak,0.370414,0.298301
weak,0.368476,0.319797
weak,0.401819,0.291895
weak,0.428709,0.289469
weak,0.376742,0.302398
weak,0.380877,0.305819
weak,0.384344,0.286624
weak,0.368249,0.286724
weak,0.387842,0.291459
weak,0.430570,0.300267
weak,0.391474,0.305933
weak,0.401412,0.294090
weak,0.419359,0.298363
weak,0.382286,0.300181
weak,0.377434,0.295475
weak,0.393689,0.294988
weak,0.385951,0.317370
weak,0.396624,0.291906
weak,0.391619,0.285315
weak,0.404218,0.307466
weak,0.394734,0.327558
weak,0.404113,0.315411
weak,0.394185,0.308383
weak,0.413986,0.295851
weak,0.402376,0.338167
weak,0.411334,0.338884
weak,0.415988,0.309604
weak,0.373073,0.320525
weak,0.491807,0.315475
weak,0.387902,0.329375
weak,0.389667,0.325111
weak,0.413373,0.307778
weak,0.406248,0.349109
weak,0.422628,0.334484
weak,0.426371,0.338071
weak,0.416686,0.360753
weak,0.407540,0.310333
weak,0.541928,0.313912
weak,0.484079,0.306143
weak,0.475179,0.307672
weak,0.374176,0.301928
weak,0.398972,0.318246
weak,0.394960,0.341351
weak,0.414248,0.314978
weak,0.451370,0.306773
weak,0.413034,0.304952
weak,0.384582,0.310140
weak,0.387950,0.356023
weak,0.400723,0.298142
weak,0.395593,0.288106
weak,0.383770,0.321854
weak,0.408048,0.308418
weak,0.376886,0.315158
weak,0.405756,0.332090
weak,0.390723,0.309728
weak,0.423175,0.315633
weak,0.397875,0.297258
weak,0.412787,0.303525
weak,0.394210,0.308908
weak,0.409963,0.318202
weak,0.423642,0.305864
weak,0.380075,0.308865
weak,0.398132,0.309201
weak,0.394742,0.301184
weak,0.382221,0.328229
weak,0.418204,0.316183
weak,0.407028,0.332416
weak,0.411584,0.306560
weak,0.402693,0.294645
weak,0.507000,0.325862
weak,0.403571,0.317159
weak,0.384954,0.288364
weak,0.394642,0.306852
weak,0.412620,0.327551
weak,0.391520,0.339709
weak,0.384598,0.311935
weak,0.373864,0.283947
weak,0.381669,0.295689
weak,0.391807,0.301240
weak,0.382586,0.299607
weak,0.374264,0.295293
weak,0.376389,0.296981
weak,0.377440,0.302355
weak,0.373351,0.281781
weak,0.375852,0.298522
