type,capacity,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1000,1001,1001,998,1001,1.433289,0.872744
almost,1000,1001,1001,998,1001,1.369211,0.849227
inv,1000,1001,1001,869,872,1.636789,1.029579
str,1000,1001,1001,997,1000,1.351968,0.858039
weak,1000,1001,1001,998,1001,1.352142,0.831790
