type,capacity,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1000,1001,1001,992,996,0.471402,0.306356
almost,1000,1001,1001,992,996,0.434127,0.271587
inv,1000,1001,1001,838,844,0.557825,0.336257
str,1000,1001,1001,990,996,0.453085,0.279114
weak,1000,1001,1001,992,996,0.437057,0.266353
