type,capacity,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1000,1001,1001,998,999,1.416151,0.850950
almost,1000,1001,1001,998,999,1.281252,0.809034
inv,1000,1001,1001,868,871,1.554711,1.010563
str,1000,1001,1001,997,1000,1.310568,0.810167
weak,1000,1001,1001,998,999,1.275357,0.814122
