type,capacity,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1000,1001,1001,981,988,0.147029,0.087660
almost,1000,1001,1001,981,988,0.133636,0.089639
inv,1000,1001,1001,820,824,0.163906,0.105362
str,1000,1001,1001,987,990,0.137532,0.133753
weak,1000,1001,1001,981,988,0.132237,0.081888
