type,capacity,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1000,1001,1001,969,980,0.044858,0.029281
almost,1000,1001,1001,969,980,0.041967,0.027416
inv,1000,1001,1001,781,792,0.056940,0.040876
str,1000,1001,1001,973,989,0.044907,0.026904
weak,1000,1001,1001,969,980,0.043079,0.025169
