type,capacity,n,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,                      1000,      500,1001,        1001,     999,        999,     0.281082,0.190899
almost,                      1000,      500,1001,        1001,     999,        999,     0.314796,0.165662
inv,                      1000,      500,1001,        1001,     932,        934,     0.337169,0.246111
str,                      1000,      500,1001,        1001,     999,        999,     0.284496,0.152761
weak,                      1000,      500,1001,        1001,     999,        999,     0.308792,0.159547
