type,capacity,n,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,                      1000,      500,1001,        1001,     997,        1000,     0.330965,0.214481
almost,                      1000,      500,1001,        1001,     997,        1000,     0.365028,0.202120
inv,                      1000,      500,1001,        1001,     889,        893,     0.400620,0.248279
str,                      1000,      500,1001,        1001,     998,        1000,     0.310819,0.192186
weak,                      1000,      500,1001,        1001,     997,        1000,     0.308238,0.238240
