type,capacity,n,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,                      1000,      500,1001,        1001,     993,        1001,     0.558297,0.317286
almost,                      1000,      500,1001,        1001,     993,        1001,     0.507832,0.286188
inv,                      1000,      500,1001,        1001,     834,        838,     0.529081,0.325494
str,                      1000,      500,1001,        1001,     991,        993,     0.450489,0.271692
weak,                      1000,      500,1001,        1001,     993,        1001,     0.442297,0.270343
