type,capacity,n,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,                      1000,      500,1001,        1001,     988,        992,     0.521628,0.316076
almost,                      1000,      500,1001,        1001,     988,        992,     0.503239,0.304454
inv,                      1000,      500,1001,        1001,     835,        839,     0.546304,0.357220
str,                      1000,      500,1001,        1001,     990,        995,     0.499380,0.306226
weak,                      1000,      500,1001,        1001,     988,        992,     0.464974,0.276659
