type,capacity,n,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,                      1000,      500,1001,        1001,     1001,        1001,     0.115435,0.073886
almost,                      1000,      500,1001,        1001,     1001,        1001,     0.104080,0.064748
inv,                      1000,      500,1001,        1001,     974,        975,     0.148085,0.078288
str,                      1000,      500,1001,        1001,     1000,        1001,     0.108607,0.111967
weak,                      1000,      500,1001,        1001,     1001,        1001,     0.103164,0.074293
