type,capacity,n,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,                      1000,      500,1001,        1001,     994,        999,     0.474811,0.285907
almost,                      1000,      500,1001,        1001,     994,        999,     0.473654,0.299309
inv,                      1000,      500,1001,        1001,     859,        862,     0.506598,0.320594
str,                      1000,      500,1001,        1001,     994,        996,     0.392171,0.247677
weak,                      1000,      500,1001,        1001,     994,        999,     0.401102,0.241603
