type,capacity,n,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,                      1000,      500,1001,        1001,     1001,        1001,     0.009779,0.004085
almost,                      1000,      500,1001,        1001,     1001,        1001,     0.007184,0.003623
inv,                      1000,      500,1001,        1001,     1000,        1000,     0.006043,0.004493
str,                      1000,      500,1001,        1001,     1001,        1001,     0.005781,0.002955
weak,                      1000,      500,1001,        1001,     1001,        1001,     0.005371,0.004071
