type,capacity,n,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,                      1000,      500,1001,        1001,     1001,        1001,     0.285433,0.177897
almost,                      1000,      500,1001,        1001,     1001,        1001,     0.345074,0.196181
inv,                      1000,      500,1001,        1001,     915,        916,     0.335032,0.238839
str,                      1000,      500,1001,        1001,     1001,        1001,     0.278110,0.196703
weak,                      1000,      500,1001,        1001,     1001,        1001,     0.263659,0.169371
