type,capacity,n,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,                      1000,      500,1001,        1001,     1000,        1001,     0.423097,0.287084
almost,                      1000,      500,1001,        1001,     1000,        1001,     0.488306,0.267804
inv,                      1000,      500,1001,        1001,     866,        871,     0.577187,0.328636
str,                      1000,      500,1001,        1001,     1000,        1001,     0.430554,0.283168
weak,                      1000,      500,1001,        1001,     1000,        1001,     0.425816,0.235488
