type,capacity,n,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,                      1000,      500,1001,        1001,     1001,        1001,     0.178420,0.099340
almost,                      1000,      500,1001,        1001,     1001,        1001,     0.186564,0.106337
inv,                      1000,      500,1001,        1001,     958,        960,     0.282699,0.140848
str,                      1000,      500,1001,        1001,     1001,        1001,     0.168605,0.108704
weak,                      1000,      500,1001,        1001,     1001,        1001,     0.167250,0.101232
