type,capacity,n,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,                      1000,      500,1001,        1001,     997,        999,     0.375045,0.236583
almost,                      1000,      500,1001,        1001,     997,        999,     0.405805,0.195030
inv,                      1000,      500,1001,        1001,     902,        906,     0.393250,0.237761
str,                      1000,      500,1001,        1001,     997,        999,     0.308892,0.195440
weak,                      1000,      500,1001,        1001,     997,        999,     0.311186,0.195952
