type,capacity,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1000,1001,1001,38,38,0.000181,0.000134
almost,1000,1001,1001,38,38,0.000171,0.000107
inv,1000,1001,1001,43,27,0.000173,0.000107
str,1000,1001,1001,86,45,0.000143,0.000100
weak,1000,1001,1001,38,38,0.000175,0.000108
