type,capacity,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1000,1001,1001,994,997,0.821797,0.532754
almost,1000,1001,1001,994,997,0.806962,0.494369
inv,1000,1001,1001,859,861,0.950026,0.604792
str,1000,1001,1001,996,996,0.787384,0.490474
weak,1000,1001,1001,994,997,0.790145,0.484586
