type,capacity,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1000,1001,1001,986,991,0.367163,0.217734
almost,1000,1001,1001,986,991,0.458705,0.206403
inv,1000,1001,1001,834,838,0.424933,0.253333
str,1000,1001,1001,990,995,0.340228,0.214713
weak,1000,1001,1001,986,991,0.339280,0.205381
