type,capacity,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1000,1001,1001,988,992,0.350337,0.219152
almost,1000,1001,1001,988,992,0.356829,0.225124
inv,1000,1001,1001,835,839,0.427290,0.268402
str,1000,1001,1001,990,995,0.357723,0.221366
weak,1000,1001,1001,988,992,0.345583,0.213070
