type,capacity,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1000,1001,1001,996,997,0.975153,0.635415
almost,1000,1001,1001,996,997,0.945771,0.596901
inv,1000,1001,1001,862,863,1.133977,0.719218
str,1000,1001,1001,996,996,0.946892,0.595431
weak,1000,1001,1001,996,997,0.959139,0.595973
