type,capacity,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1000,1001,1001,989,992,0.407360,0.265835
almost,1000,1001,1001,989,992,0.431497,0.254270
inv,1000,1001,1001,837,842,0.507132,0.308136
str,1000,1001,1001,990,995,0.404800,0.252525
weak,1000,1001,1001,989,992,0.398564,0.246395
